Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Christian Gellert Eregott (Gellrt Christian Ehregott)	11	8	1713	18	5	1795	Physicist, chemist	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	04.03.1931		__________ _ _______ _____________ _______
Denis Diderot	5	10	1713	31	7	1784	Philosopher, educator, writer	http://www.isaran.ru/?q=ru/persostav	______ ___-______ _________, __ (__. Jean Baptiste Bourguignon d'Anville)	11.07.1697	28.01.1782	_______
Keys Johannes	14	9	1713	29	7	1781	Mathematician, physicist, astronomer	http://www.isaran.ru/?q=ru/persostav	________ _____ ______ (____. Philip Warren Anderson)	13.12.1923		__________ _ _______ ______ ________ ____, __________, _________________, _________ _____, _______ ______
Alexis Claude Clairaut	7	5	1713	17	5	1765	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ _________ _________	10.12.1939		__________ _ _______ ______ ______ __________ _ ________ ____
Lakayl Nicolas Louis de	15	3	1713	21	3	1762	Astronomer	http://www.isaran.ru/?q=ru/persostav	_______ __________ __________	26.03.1848	29.10.1921	_________
Perar Jacques de	29	5	1713	29	6	1766	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ ___ __________	05.11.1931	05.04.2006	__________ _ _______ _______________ _ __________ _______ ___________ _ _________ ________
Sibtorp Humphry	1	7	1713	1	8	1797	Botanist	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	23.09.1873	10.11.1948	__________-_______, ________, ________, ___________
Honey locust Johann Gottlieb (Johann Gottlieb Gleditsch)	5	2	1714	5	10	1786	Physician and botanist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	28.07.1880	31.12.1970	_____, __________ _ _______ ________
Montalembert Marc-René de Marquis (Marc René, marquis de Montalembert)	16	7	1714	29	3	1800	Sapper	http://www.isaran.ru/?q=ru/persostav	_________ ______ ___________	28.12.1904	13.03.1978	_____, __________ _ _______ _______ _ __________ __________________ __________
Bulgaris Eleutherius (Archbishop Eugene)	21	8	1715	27	5	1806	Writer, theologian	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________	19.08.1910	04.01.2009	__________ _ _______ __________ _ ____________ ______
Kaau-Boerhaave Abraham (Abraham) (Kaau-Boerhaave Abraham)	5	1	1715	14	7	1758	Medic	http://www.isaran.ru/?q=ru/persostav	________ _________ _____________	11.04.1901	31.10.1952	_____, __________ _ _______ ______________, ___________ _ __________ ________
Kruzius Christian Gottfried (Crusius Christian Gottfried)	8	4	1715	7	2	1767	Historian	http://www.isaran.ru/?q=ru/persostav	________ _________ _____________	06.02.1938		__________ _ _______ ______ _________________ _________ ________ _ ______ ______
Dobanton Louis-Jean-Marie	29	5	1716	1	1	1800	Naturalist, anatomist and physician	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	19.12.1861	27.04.1924	______, ___________
Charles Morton	1	7	1716	10	2	1799	Physicist	http://www.isaran.ru/?q=ru/persostav	______ _________ __________	10.12.1952		__________ _ _______ _______ _ __________ __________ _ _________________
Leonardo Jimenez	27	12	1716	3	5	1786	Mathematician and astronomer	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	07.12.1945		__________ _ _______ _________________ ____________ _ _________
Böhmer Philipp Adolf	25	8	1717	1	11	1789	Astronomer and surgeon	http://www.isaran.ru/?q=ru/persostav	________ ____ ________	16.02.1899	10.06.1966	_____________
Vargentin Peter Wilhelm	22	9	1717	13	12	1783	Astronomer	http://www.isaran.ru/?q=ru/persostav	________ ______ ________	11.12.1934		__________ _ _______ ______ ________ ____, ______ _________________ _________ ________, __________ ________
David de Gorter	30	4	1717	8	4	1783	Physician and botanist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	03.11.1885	07.12.1964	_____, ______________, ____________
Jean d'Alembert Leron	16	11	1717	29	10	1783	Mathematician, philosopher and writer	http://www.isaran.ru/?q=ru/persostav	_____ _____ __________	18.10.1936		__________ _ _______ ________ ______________ ________ ____
Taubert Ivan (Johann Caspar) (Taubert Johann Caspar)	31	8	1717	9	5	1771	Historian	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	30.11.1936		__________ _ _______ ______ ________________ _________ _ _______ ________ _________ _ _________
Nikita Ivanovich Panin	15	9	1718	31	3	1783	Diplomat	http://www.isaran.ru/?q=ru/persostav	______ __________ ____________	03.10.1957		__________ _ _______ ____________ _ _________ __________ ___________ __________ _ ___________ _________ _ _______ _______
Jacob Christian Schaeffer	30	5	1718	5	1	1790	Naturalist, philosopher and theologian	http://www.isaran.ru/?q=ru/persostav	______ ____ _______	26.01.1898	06.03.1974	________
Kestner (Kestner) Abraham (Abraham) Gotgelf	27	9	1719	20	6	1800	Mathematician and physicist	http://www.isaran.ru/?q=ru/persostav	______ ____ (Ancel)	14.07.1902	04.09.1990	__________ _ _______ __________ _____, ____________, ______________ ____________
Johann Gottlob Lehmann	4	8	1719	11	1	1767	Chemist, geologist	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	07.04.1954		__________ _ _______ __________ ____________ _ _________________ _____
Toaldo Giuseppe Abbot	11	7	1719	11	11	1797	Astronomer, geographer and meteorologist	http://www.isaran.ru/?q=ru/persostav	_______ ______ ___________	25.08.1951	19.02.2013	__________ _ _______ ____________________ _______ _ ___________ _____ ____________ _ ____________________ _ _______________ __________
Charles Bonnet	13	3	1720	20	5	1793	Naturalist, philosopher, lawyer	http://www.isaran.ru/?q=ru/persostav	_______ ____ _________	25.12.1890	30.10.1960	__________ _ _______ ___________
Gebenshtreyt Johann Christian (Hebenstreit Johann Christian)	28	6	1720	27	9	1795	Botanist, physician	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________	23.09.1949	12.06.2009	__________ _ _______ __________ _________, ___________, __________ ____ _ ___________
Henry Frederick Delius	8	7	1720	22	10	1791	Physician, physicist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	27.10.1958		_____, __________ _ _______ ________ _ _______ ______________ __________, _______________
Moder Carl Friedrich (Moderach Karl Friedrich)	11	11	1720	31	5	1772	Historian	http://www.isaran.ru/?q=ru/persostav	_______ ________ ______________	22.04.1927	26.07.1992	__________ _ _______ ___________
Lawrence Joseph de Molina	1	7	1720	1	8	1788	Engineer	http://www.isaran.ru/?q=ru/persostav	_______ ____ ______________	07.02.1906	04.04.1984	__________ _ _______ ________________
Nikita Popov I.	1	7	1720	15	7	1782	Astronomer	http://www.isaran.ru/?q=ru/persostav	_________ ________ ____________	18.02.1834	08.03.1908	_______, ________, ________
Poisson-Pierre Isaac	5	7	1720	15	9	1798	Physician and chemist	http://www.isaran.ru/?q=ru/persostav	_______ ______ ______ (Inkeri Anttila)	29.11.1916		__________ _ _______ ____________, __________ _____
Johann Sievers	1	7	1720	23	3	1795	Chemist, pharmacist	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	08.09.1843	04.06.1923	______, __________, ________, _______, ________
Tseyger Johann Ernst	23	4	1720	7	1	1784	Physics, mechanics	http://www.isaran.ru/?q=ru/persostav	_________ ________ __________	25.11.1938		__________ _ _______ ________.
Engel Johann Heinrich Gottlieb	1	7	1720	11	12	1785	Medic	http://www.isaran.ru/?q=ru/persostav	_______ _______ ___________	29.03.1935		__________ _ _______ ____________, ____________ ________________, ___________ _ ___________ _____-_________ _ ___________ _________
Wilson Benjamin (Benjamin)	1	12	1721	6	6	1788	Physicist, electrical engineer and artist	http://www.isaran.ru/?q=ru/persostav	_____________ ____ _________	29.12.1938		__________ _ _______ __________ ______ _ ___________ __________ _____________ ________________ ___________
William Robertson	19	9	1721	11	6	1793	Historian	http://www.isaran.ru/?q=ru/persostav	_________ ________ _________	26.11.1933		__________ _ _______ _______ ______ _ ________ ________________, __________ ___________
Truscott (Trescott) Ivan Fomichev (Johann or John) (Truscott Johann)	1	12	1721	18	5	1786	Geographer, cartographer	http://www.isaran.ru/?q=ru/persostav	________ _________ ________	11.08.1933	24.06.1987	__________ _ _______ ______ _________________ _______________, ____________ _ _______________ _________ _________, ___________________ _____________, _____________ _______ ______-____________ _________
Petrus Camper	11	5	1722	7	4	1789	Anatomist, naturalist	http://www.isaran.ru/?q=ru/persostav	_______ ________ ________	14.06.1937		__________ _ _______ ________ ______ __________ _______________ ____________ __________ __________ _ ____________ _____
Lovitz Davyd Ye (Georg Moritz)	17	2	1722	13	8	1774	Astronomer, geographer	http://www.isaran.ru/?q=ru/persostav	______ ____-_____ (Paul Emile Appell)	27.09.1855	24.10.1930	_________, _______
Magellan (Magalyansh) Juan Jacinto (Joao hyacinth), de	4	11	1722	7	2	1790	Physicist, traveler	http://www.isaran.ru/?q=ru/persostav	_______ ____ ___________	02.02.1930		__________ _ _______ _________, __________, _____________, ___________ _ ______________ ___________
Ulrich Salchow Christopher	9	2	1722	20	4	1787	Chemist	http://www.isaran.ru/?q=ru/persostav	_____ _______-_______-___ (__. Dominique François Jean Arago)	26.02.1786	02.10.1853	________, _____
Shestakovsky Joseph (I.)	1	7	1722	1	8	1770	Philosopher	http://www.isaran.ru/?q=ru/persostav	______ (______) __ _______ _______ __ _____, ____ (Araujo de Azevedo Antônio, conde da Barca)	30.06.1754	01.07.1817	_______, _________, __________, ________
Szpilman Jakob Reinhold	31	3	1722	9	9	1783	Chemist, botanist, physician	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	17.01.1951		__________ _ _______ _______________ ____________ _________ ____________ ________ ________, _______ _____________ ____________, _______ _ _______ ________, ______________ ____________ __ __________ _ ____________ _______
Holbach Paul-Henri Dietrich, Baron de	8	12	1723	21	1	1789	Philosopher	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	19.05.1923	01.10.2010	__________ _ _______ _______ ________ _ _____________ _________
Frederick Melchior Grimm	26	12	1723	19	12	1807	Writer, critic	http://www.isaran.ru/?q=ru/persostav	________ ___-_______-______ (Arbogast Louis François Antoine)	04.10.1759	08.04.1803	_________
Johann Carl Heinrich Dreyer	13	12	1723	15	2	1802	Lawyer	http://www.isaran.ru/?q=ru/persostav	_______ _________ ________________	11.09.1877	21.01.1968	_____-_______
Boilermakers Simon (Simeon) K.	1	7	1723	30	3	1806	Mathematician	http://www.isaran.ru/?q=ru/persostav	_______ _____ _____________	04.11.1903	06.11.1991	_____-_______
Krattsenshteyn Christian Gottlieb (Kratzenstein Christian Gottlieb)	30	1	1723	7	7	1795	Physician, physicist, engineer	http://www.isaran.ru/?q=ru/persostav	__________ _______ _________ ______ (___. Friedrich Wilhelm August Argelander)	22.03.1799	17.02.1875	________, _________
Immanuel Kant	22	4	1724	12	2	1804	Philosopher	http://www.isaran.ru/?q=ru/persostav	_____ ______ _______ (Ahrens Heinrich Ludolf)	06.06.1809	24.09.1881	_______-_______, _______
Kozitskii Grigory	1	7	1724	26	12	1775	Writer, translator	http://www.isaran.ru/?q=ru/persostav	_______ ______ _____________	14.08.1902	22.10.1960	_____
Alexey Protasov Protasevich	1	7	1724	5	5	1796	Physician, writer, translator	http://www.isaran.ru/?q=ru/persostav	_________ ________ __________	14.02.1904	18.07.1965	_________
Aepinus Franz Ulrich Theodor (Aepinus)	13	12	1724	10	8	1802	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	29.04.1945		__________ _ _______ _____________, ___________ ___________
Rumyantsev Petr, Earl	4	1	1725	8	12	1796	Military leader	http://www.isaran.ru/?q=ru/persostav	________ ________ ______________	21.04.1884	01.12.1953	_____
Grisha Augustine Nathaniel (Grischow Augustin Nathanael)	29	9	1726	4	6	1760	Astronomer	http://www.isaran.ru/?q=ru/persostav	_________ ________ _______	19.10.1939		__________ _ _______ ______________ __________, ___ ______, _____________ ________________
Leclerc (Clerk) Nikolai Gabriel (Gabriel Nicolas), Count	6	10	1726	30	12	1798	Physician, historian	http://www.isaran.ru/?q=ru/persostav	_________ _____ ______	06.05.1848	13.07.1937	_____
Melander or Melandergelm (1778) Daniel	29	10	1726	8	1	1810	Astronomer and mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ________ ________	12.06.1937	03.06.2010	__________ _ _______ _____________ _ __________ __________
Johann Georg Roederer	15	5	1726	4	4	1763	Medic	http://www.isaran.ru/?q=ru/persostav	________ ________ ____________	24.06.1871	22.03.1924	________-_______, ________, __________ _ _______ __________ ________
Chernyshev Ivan G.	24	11	1726	23	2	1797	Specialist in naval affairs	http://www.isaran.ru/?q=ru/persostav	______ _______ ________	26.07.1939	14.11.1994	__________ _ _______ ______ ________ ____
Vyazemskij Alexander	3	8	1727	8	1	1793	Lawyer	http://www.isaran.ru/?q=ru/persostav	________ ______ ______ (____. Svante August Arrhenius)	19.02.1859	02.10.1927	___________
Zhaken Nikolaus Joseph von	16	2	1727	24	10	1817	Botanist, chemist, metallurgist	http://www.isaran.ru/?q=ru/persostav	______ ______ ______ _’ (___ ______ ___ _’____) (___. Heinrich Louis d'Arrest)	13.08.1822	14.06.1875	________
Kruse Carl F. (Carl Friedrich)	1	7	1727	29	6	1799	Medic	http://www.isaran.ru/?q=ru/persostav	______ ____ ________	21.07.1960		__________ _ _______ ______ ________ ____, ______ _______________ _ ____________ ______, ______ _______________ ______, _______ _______________, ______ ____________ _________ _ __________ ________ _ _______________
Cibo Pierre-Martial	14	8	1727	8	8	1780	Historian, orientalist Sinologist	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	15.03.1958		__________ _ _______ _____________ _______ ______ XVIII - ______ XX __.
Ivan Ivanovich Shuvalov	1	11	1727	14	11	1797	Statesman	http://www.isaran.ru/?q=ru/persostav	________ __________ ________	12.10.1789	29.11.1865	_______, _________, _______
Al Gregory (Egor) F.	23	6	1728	23	6	1807	Medic	http://www.isaran.ru/?q=ru/persostav	________ __________ ______________	05.02.1837	22.03.1919	_______ __________, ______, _________
Joseph Black	16	4	1728	6	12	1799	Physician, chemist	http://www.isaran.ru/?q=ru/persostav	______ ____ __________	25.11.1936		__________ _ _______ _________ _____-_____________ _ _______-_____________ ____________ __ ____________ ________ ___________ ________
Ferdinando Galiani dong, Abbot	2	12	1728	30	10	1787	Economist	http://www.isaran.ru/?q=ru/persostav	_____________ ____ ________	09.10.1905	21.09.1977	_________, __________ _ _______ __________ ________
Koenig Johann Gerhard (George) (Koenig, Joannes Gerhardt) (Georg)	29	11	1728	31	7	1785	Naturalist, botanist, physician, pharmacologist	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	26.12.1937		__________ _ _______ ___________ _ _________
Kirill Razumovsky G.	18	3	1728	3	1	1803	Statesman	http://www.isaran.ru/?q=ru/persostav	________ ______ _____________	01.07.1932		__________ _ _______ _____ __________, ______________ _______, __________ _______ ____
Freese Paolo Abbot	13	4	1728	22	11	1784	Mathematician, physicist and astronomer	http://www.isaran.ru/?q=ru/persostav	_________ ____ _________	30.04.1923		__________ _ _______ ________ _____, __________ _ ______ ___________, ___________ _ ____________ _______ _____
Johann Georg Zimmermann	8	12	1728	7	10	1795	Physician, philosopher	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	20.08.1929		__________ _ _______ __________ _ __________, ________-__________ ____________ _________ ________ _ ______ _______
Heine Christian Gottlieb	25	9	1729	14	7	1812	Writer, lawyer	http://www.isaran.ru/?q=ru/persostav	_____________ _________ _________	24.07.1854	24.04.1926	_______ _______ __________
George Ivan (Johann Gottlieb)	31	12	1729	27	10	1802	Chemist, doctor, ethnographer, traveler	http://www.isaran.ru/?q=ru/persostav	_____________ ______ __________	08.12.1879	16.06.1940	______
Krestinin Vasily	5	5	1729	5	5	1795	Historian	http://www.isaran.ru/?q=ru/persostav	_____________ ______ ________	22.01.1882	07.10.1958	_______
Michael Sofronov	1	7	1729	10	2	1760	Mathematician, writer, translator	http://www.isaran.ru/?q=ru/persostav	_________ ___ _________	25.02.1909	01.03.1973	_____
Johann Reinhold Forster (Reinhold)	22	10	1729	9	12	1798	Naturalist, traveler	http://www.isaran.ru/?q=ru/persostav	___________ _______ ____________	26.12.1902	17.02.1978	__________ _ _______ __________ _ _______ ____
